file,description_ca,description_es,description_en
spaces/1.jpg,Masia a la provincia de Lleida. Sala amb capacitat per a 300 persones,Masía en la provincia de Lérida. Sala con capacidad para 300 personas,Farmhouse in the province of Lleida. Meeting room with a capacity for 300 people
spaces/2.jpg,Decoració dels interiors d'aquesta masia,Decoración de los interiores de ésta masia,House interior design
spaces/3.jpg,Masia a la comarca del Maresme,Masía en la comarca del Maresme,Farmhouse in Maresme
spaces/4.jpg,Espai per a celebrar el teu esdeveniment a Barcelona. Capacitat 280 per a persones,Espacio para celebrar tu evento en Barcelona. Capacidad para 280 personas,Space to celebrate your event in Barcelona. Capacity for 280 people
spaces/5.jpg,Dóna a conèixer la teva marca a aquest espai. Capacitat per a 280 persones,Da a conocer tu marca en este espacio. Capacidad para 280 personas,Make public your brand in this space. Capacity for 280 people
spaces/6.jpg,Masia a la provincia de Girona. Allotjament per a 20 persones,Masía en la provincia de Gerona. Alojamiento para 20 personas,Farmhouse in Girona. Accommodation for 20 people
spaces/7.jpg,Interior de la masia. Allotjament per a 20 persones,Interior de la Masía. Alojamiento para 20 personas,House interior design. Accommodation for 20 people
spaces/8.jpg,Masia al Maresme. Allotjament per a 16 persones,Masía en el Maresme. Alojamiento para 16 personas,Farmhouse in Maresme region. Accommodation for 16 people
spaces/9.jpg,Interior de la masia. Suite,Interior de la Masía. Suite,House interior design. Suite
spaces/10.jpg,"Sala de reunions, presentacions de producte, conferències, Teambuilding, networking","Sala de reuniones, presentaciones de producto, conferencias, Teambuilding, networking","Meeting rooms, product presentations, conferences, teambuilding, networking"
spaces/11.jpg,Bar gastronòmic,Bar gastronómico,Gastronomic bar
spaces/12.jpg,Sala al Maresme amb capacitat per a 30 persones. Dimensions 7x 7 m,Sala en el Maresme con capacidad para 30 personas. Dimensiones 7 x 7 m,Meeting room in Maresme with capacity for 30 people. 7 x 7 m
spaces/13.jpg,"Cuina per a la realització de tallers, cursos... amb capacitat per a 15 persones","Cocina para realizar talleres, cursos...con capacidad para 15 personas","Kitchen to do workshops, courses... with capacity for 15 people"
spaces/14.jpg,Espai exterior per a la realizació d'esdeveniments,Espacio exterior para la realización de eventos,Ouside space to do events
spaces/15.jpg,Finca al Penedès entre vinyes amb capacitat per a 250 persones exterior,Finca en el Penedés entre viñedos con capacidad para 300 personas exterior,Farmhouse between vineyards in Penedés. Capacity for 300 people outside
spaces/16.jpg,Menjador rústic de la casa pairal de la finca ,Comedor rústico de la casa pairal de la finca,Rustic dining room and rural housing 
decorations/1.jpg,Seating plan de fusta,Seating plan de madera,Wood Seating Plan
decorations/2.jpg,Bracelet florals,Pulsera de flores,Flower bracelets
decorations/3.jpg,Corona floral feta de paper,Corona floral hecha de papel,Paper flower wreaths
decorations/4.jpg,Petits detalls,Pequeños detalles,Little designs
decorations/5.jpg,Confeti de papallones,Confeti de mariposas,Butterfly Confetti 
decorations/6.jpg,Ram de núvia fet de paper,Ramo de novia hecho de papel,Paper bridal bouquet
decorations/7.jpg,Il·lustracions,Ilustraciones,Illustrations
decorations/8.jpg,Cartells indicatius,Carteles indicativos,Signs decoratives
decorations/9.jpg,Banderoles de festa,Banderines de fiesta,Party pennants
decorations/10.jpg,Lletres decoratives fetes de cartró,Letras decorativas hechas de cartón,Cardboard letters decorative 
decorations/11.jpg,Decoracions fetes de cartró,Decoraciones hechas de cartón,Cardboard decorations ideas
decorations/12.jpg,Gran varietat d'invitacions de noces,Gran variedad de Invitaciones de boda,Variety of wedding invitations
decorations/13.jpg,Segells personalitzats,Sellos personalizados,Custom stamps
gastronomy/1.jpg,Pintxo de pop a la Gallega en base de patata confitada,Montadito de pulpo a la Gallega en base de patata confitada,Octopus Galician style
gastronomy/2.jpg,Paperina de xips de verdures,Paperina de chips de verduras,Vegetable chips
gastronomy/3.jpg,Xopet de formatge manxec amb melmelada de mango,Chupito de queso manchego con mermelada de mango,Shot of manchego cheese with mango 
gastronomy/4.jpg,Caramel de formatge brie amb fruits vermells,Caramelo de queso brie con frutos rojos,Cheese brie with red fruits
gastronomy/5.jpg,Canapè de carpaccio de vedella,Canapé de carpaccio de ternera,Canape of beef carpaccio
gastronomy/6.jpg,Xupa-Xup de guatlla amb reducció de Porto,Chupa- Chup de codorniz con reducción de Oporto,Chupa - Chup quail with port reduction
gastronomy/7.jpg,Gaspatxo de llamàntol amb vinagreta de pinyons,Gazpacho de bogavante con vinagreta de piñones,Lobster with pine nut vinaigrette gazpacho
gastronomy/8.jpg,Crema de coco amb sopa de maduixa i granissat de Coca-Cola,Crema de coco con sopa de fresa y granizado de Coca-Cola,Coconut cream with Strawberry soup and iced/slush Coca-Cola
gastronomy/9.jpg,Aperitiu amb vistes al mar,Aperitivo con vistas al mar,Appetizer with sea views
gastronomy/10.jpg,Amanida de salmó,Ensadala de salmón,Salmon salad
gastronomy/11.jpg,Entranya de Kobe a la pedra,Entraña de Kobe a la piedra,Kobe's Skirt steak 
photography/1.jpg,Casament romàntic,Boda romàntica,Romantic wedding
photography/2.jpg,"Lloc encantat, Casament J&M","Lugar encantado, Boda J&M","Enchanted place, Wedding J&M"
photography/3.jpg,Casament a Sant Cugat del Vallès,Boda en San Cugat del Vallés,Wedding in Sant Cugat del Vallés
photography/4.jpg,Convidats gaudint de l'aperitiu,Invitados disfrutando del aperitivo,Guests enjoying an aperitif
photography/5.jpg,Casaments autèntics,Bodas auténticas,Real/ authentic weddings
photography/6.jpg,Cerimònia rústica,Ceremonia rústica,Rustic ceremony
photography/7.jpg,Casament a Formentera,Boda en Formentera,Wedding in Formentera
photography/8.jpg,Amb un convidat especial!,¡Con un invitado especial!,With a special guest!
photography/9.jpg,Salut!,¡Salud!,Cheers!
photography/10.jpg,Casament rústic,Boda rústica,Rustic wedding